8802:8870,302,654,483,1762,616,3,8,73,29
17606:17,302,58,654,94,1190,1527,54,8,84
7:302,29,616,58,8,650,518,138,301,76
44005:48,2162,899,470,1119,17,6450,4420,84,302
35212:4475,88667,85445,7334,37528,59900,5536,88930,9594,24538
35211:75903,69907,49796,46547,64535,1356,38284,27127,105317,85202
8810:709,11268,17,2307,431,103972,179,8019,76,246
44010:176,17,302,654,76,616,58,8,866,84
44009:3,6231,17,302,654,726,58,616,542,239
8812:687,986,2204,2967,342,23933,2506,3423,780,140
35214:4979,22801,4526,33223,28166,10543,39619,48992,13389,18892
26288:106514,46626,15833,91001,25483,18831,18,9127,65269,10348
18:17608,32205,47812,25266,534,5881,33818,109,85561,54038
26290:1050,16852,6258,3570,78073,51975,73005,35434,81967,30930
19:19480,111624,19004,17,302,654,76,616,58,8
17620:28191,59583,31920,39597,24761,19491,38577,3580,11413,91401
8822:8725,93660,17,302,654,76,616,58,8,866
17624:84,1589,69793,302,654,45,3,616,58,1985
17625:311,6900,267,28070,181,1352,11620,4459,533,8749
8825:654,58,302,616,8,84,1455,9342,22142,238
17626:14112,109,13782,83050,3095,138,1462,17,21569,47433
35231:11772,23933,2899,62565,780,17,226,262,140,986
35229:7680,20952,55819,929,5353,26340,7636,84919,18146,120186
8771:17,65,7446,302,8,654,58,1762,1772,30
36:17,654,616,29,84,2162,70,58,8,518
26248:923,236,19157,47744,10075,776,11621,3448,8861,10682
37:17,65,84,616,654,8,61,542,15,787
8774:17,58,1102,302,1382,5564,26412,122290,96592,19454
43:17,58,1678,48,302,76,654,226,109,29960
43977:1682,2661,13341,30301,29000,37089,28275,16792,44709,15204
35241:35943,10536,18783,35726,62809,86716,26660,96799,98863,104634
44:302,616,15,84,8,76,542,518,861,564
35244:20710,26380,108487,3750,72287,119901,109240,104383,83991,61540
26250:83193,37900,17,302,654,76,616,58,8,866
41:17,302,616,654,356,58,4499,3890,101,542
17642:3730,17,302,654,76,616,58,8,866,84
26249:457,17,302,654,76,616,58,8,866,84
42:17,518,84,58,302,654,1102,76,1009,787
45:347,4858,11953,53818,10069,110820,80330,23970,76,31315
8782:5557,9265,168,719,1400,463,8860,5480,2642,18240
46:302,58,616,8,1102,354,76,650,542,109
8788:58,29,97,84,8,650,116,76,1102,518
35251:36672,70416,63127,56569,33176,50517,66183,116542,15044,26613
26263:29027,1468,10352,30231,46110,61303,50457,41853,86266,17
35255:2848,17,302,654,76,616,58,8,866,84
8790:16158,502,675,7945,38488,398,35279,104630,60721,82551
17653:1592,795,38165,99452,51442,26722,8841,91247,99035,109527
26262:26633,41729,35599,71833,100294,40607,48270,17,302,654
8789:117014,94,1436,4459,10154,119009,17,59997,76,37709
60:302,29,58,6011,616,76,84,8,1102,650
59:654,119,616,58,1102,29,1039,76,29709,16134
43999:866,22726,5889,48151,89082,77423,17,302,654,76
69:302,654,58,1217,61,564,32,650,29,76
70:302,654,84,58,76,354,616,29,8,650
26349:14277,17,302,654,76,616,58,8,866,84
17549:337,92129,45975,120518,80736,100590,83173,805,11401,39936
17551:2255,756,962,7333,4364,24665,25733,17,119,8587
35275:4459,1352,10041,1527,189,3107,2880,4825,62536,3172
8746:65,302,616,58,84,8,29,650,76,518
35274:12022,641,17,302,654,76,616,58,8,866
8747:302,85160,654,84,58,616,12488,354,3,29
17547:21367,12253,33364,27789,43989,27284,49106,14321,27499,17
8760:38295,88028,136,24323,6726,37600,17,616,302,654
43955:8340,76243,65546,93776,102692,120276,89327,62824,55297,29607
43956:8670,94565,76882,53676,117037,88165,45741,48116,17,302
8755:86870,27589,27582,67819,17,302,654,76,616,58
17556:8453,93353,91863,22878,8482,44150,11428,26162,61658,4583
94:17,616,302,654,119,322,58,32,564,84
35296:616,591,15583,10785,21055,917,937,6057,58839,9170
8765:9075,3159,659,8199,730,1302,4708,4534,2995,3613
8768:39619,1038,5726,87186,17,56217,33223,48992,31619,535
17562:572,96,17850,17,89867,654,616,302,58,542
35289:7859,8225,1206,6434,1923,11725,6601,46903,51255,8804
26312:30,35,654,17,302,58,52,1331,5940,3015
8711:16970,2025,15232,45523,1223,25692,15131,85801,32173,37697
17576:3033,63253,1397,2510,14268,4656,8640,5975,4341,6311
35297:11800,56113,64628,12791,51035,82549,72766,58858,13504,74967
26307:18,179,69799,654,302,17,58,38120,616,29
52516:93002,30999,17,302,654,76,616,58,8,866
8719:29,654,8,58,616,84,500,354,361,3
8717:12691,3819,9597,17071,6593,1217,81,7585,481,2185
35311:13046,35382,8364,41878,25751,113723,8960,44578,36848,19507
8718:8860,1400,984,760,76,5480,463,2103,5738,1326
43914:116,749,31324,6940,12531,30471,4988,48371,27860,80240
17579:866,22726,5889,48151,89082,77423,17,302,654,76
106:29,84,8,518,15,101,736,1102,6,32
17591:89928,61279,54606,21439,54989,4348,54442,5584,17822,1109
52533:21210,17,302,654,76,616,58,8,866,84
17592:3055,4794,498,1965,168,17,76,508,8236,5738
43927:1361,33176,44862,23365,6559,44479,8077,7024,8153,673
26325:189,75493,12115,41,8749,2423,15652,4755,17,22108
116:834,29001,17,76,226,19277,70,564,302,508
115:58,8,29,518,15,966,354,289,138,709
43933:1749,21559,41951,87253,48397,70,105440,78892,31109,11813
8736:686,101470,100524,4194,6491,24521,7890,7503,6127,17
43934:18484,85002,69359,73114,57369,24252,39833,30788,9367,8587
8735:36292,6875,17,85541,654,3,211,73218,22,3744
26332:68107,17,302,654,76,616,58,8,866,84
26330:1548,1624,1200,2379,2630,17,2908,18068,2478,32328
17484:89499,30259,34582,4965,95159,62433,10869,16431,9731,203
35087:73,86,1325,17,302,616,654,29,76,8
142:58,84,8,29,61,32,301,1102,364,861
35086:63964,60900,31225,17,302,654,76,616,58,8
143:86747,110799,54752,120713,116359,54650,107116,50883,40446,16703
17473:2650,8476,1624,1193,45052,54866,8552,109882,114239,33601
26146:39380,17,302,654,76,616,58,8,866,84
17474:31315,3550,12216,107890,19829,33572,16995,19330,72363,14021
26147:8322,24933,9674,13077,16965,6856,30815,38522,36432,51232
17475:650,302,616,3,73,29,54,84,1896,65405
8931:1196,302,58,654,616,8,84,650,518,29
17477:6824,17,302,654,546,254,890,1164,616,58
8936:54180,89051,6306,40588,736,17,302,654,76,616
8935:55062,302,654,616,84,58,8,431,518,29
17498:8298,8114,16648,58772,13639,53775,40353,11486,66758,14817
156:568,302,7029,616,58,8,84,301,29,1102
17499:21279,45611,15284,50378,98858,104100,63712,12929,3723,17
26174:22,1752,11465,17,19465,616,302,650,58,654
26173:43457,41391,32678,19778,77738,24313,54062,54998,2530,39492
8958:31872,119,3,302,654,52,213,58,616,84
35092:16166,37265,15184,36088,23467,34554,28308,36715,47693,97604
26162:39082,109423,75436,24614,116814,48436,36381,12753,55193,104766
17492:654,3,58,84,616,269,1102,136,4203,520
148:17,378,1405,5103,70,616,302,654,8,76
150:17,302,654,650,29,8,73,84,1180,564
26167:8866,107543,120595,7566,67633,98743,70862,92045,41804,22187
172:1937,654,1217,58,84,8,542,861,76,518
171:28641,302,84,8,650,1102,354,518,6,76
8906:77859,17,302,654,616,58,76,84,327,8
17513:6254,93,17,302,564,654,650,616,58,81
8912:8765,1218,5859,40909,17,26781,138,302,654,76
26125:9874,37042,168,66083,17527,10267,5480,463,984,1400
174:4608,57606,91046,122852,109231,115036,87724,78778,64416,38437
26115:1930,54589,65434,12581,67603,38198,116658,59153,26445,83016
8900:1403,302,654,3,84,58,7899,616,1912,123
43844:80618,17,302,654,76,616,58,8,866,84
161:84,616,29,179,1403,650,76,138,542,101
43865:17047,2860,39882,3376,1790,5545,226,1435,70,113325
8924:13170,17,76,302,616,654,535,226,58,650
17530:25429,404,6418,17,2423,12332,58,616,302,654
8915:17,1287,65,119,302,654,1102,58,518,29
8916:302,418,17,16619,654,51694,809,616,88016,4375
8913:5111,2548,14793,31391,840,10541,8934,10997,10230,5627
177:17,654,29,58,616,84,8,542,1102,650
17522:176,17047,6346,15155,39882,34405,508,1644,17,1382
17528:17,616,690,102262,1089,302,654,58,1212,1755
8920:7072,8240,2157,81,4854,5767,731,89506,459,780
35127:17,302,654,76,616,58,8,866,84,29
35151:650,58,614,1152,22,65405,17,302,616,289
8877:17,94,616,302,654,58,8,24429,32,84
35150:358,24323,2966,17,616,654,302,58,15,518
202:220,302,58,8,1102,518,542,354,15,32
17418:30941,40013,104003,1351,100327,42075,83954,32789,54487,1529
8870:29,17,1762,2734,4278,58,616,8,354,518
8872:861,65,17,616,302,510,654,58,8,542
17415:4203,53126,17,654,302,58,29,616,76,6
8868:1102,327,17,2416,431,4659,302,8,1173,667
196:650,616,29,354,76,542,15,736,101,289
17412:89220,65056,5784,112869,28501,87523,102551,35571,90856,92913
26238:1331,10113,71151,83024,815,31227,11052,17508,52713,22
35167:7833,9497,26510,55959,81114,13894,2048,48480,61710,1526
35166:37773,30977,39668,29532,44004,17865,10519,99712,69113,47327
223:302,654,58,119,616,167,559,84,8,518
17440:41141,6901,17,17142,302,616,654,1164,58,913
224:4797,601,1467,353,4589,1951,8694,769,6417,1043
26234:2769,48211,109678,97030,119868,92184,44214,88195,59391,122057
8889:39766,431,176,3214,19059,17,8852,302,8,76
217:17,55991,616,7451,518,654,302,167,8,12480
8890:7820,37028,5859,17,226,9429,81446,302,138,654
220:186,39446,10178,7649,22713,58738,64973,7478,13192,68179
43829:30118,91223,6385,17,302,654,76,616,58,8
17426:16350,6960,17,302,654,76,616,58,8,866
211:122005,118581,7466,1652,815,17,431,6085,23308,8166
52656:1654,8359,17,107142,302,1097,12752,17017,112461,22483
238:26712,42397,441,2672,4421,4856,17,61,774,3618
52650:224,49434,27110,64796,84740,17,302,654,76,616
8844:715,103267,49290,2121,89703,111017,78744,100449,84691,32591
